,accuracy,precision,recall,f1,roc_auc,desvio_padrao_f1
Regressao Logistica,0.6852,0.6525,0.8267,0.7294,0.7566,0.0004
Random Forest,0.6865,0.6685,0.7718,0.7164,0.7598,0.0006
